,adId,price,distance,rooms,area,floor,lift_ind
0,30490345,230000.0,229.26890481645663,2,67,6,1
1,34912977,340000.0,422.9025061740606,2,79,4,1
2,28952693,344000.0,520.2391081805079,2,65,5,1
3,31237874,449000.0,4126.9301689064605,3,119,1,1
4,31030898,327800.0,4481.7686957852775,3,110,1,1
5,29304524,369000.0,5980.668059067633,3,124,1,1
6,33613376,200000.0,6039.744336280405,2,65,0,1
7,28470500,246000.0,7643.038586799076,2,73,2,1
8,34880194,460000.0,8017.0043782696575,3,127,1,1
9,34159534,200000.0,8966.494851417818,2,66,1,1
10,34893831,255000.0,9153.203031539935,3,100,1,1
11,34899460,335000.0,9208.355549751399,3,103,1,1
